Date,ENSO,PDO,NAO,AO
1951-01-01,1.5,-1.19,0.08,-0.085
1951-02-01,0.9,-1.52,0.7,-0.4
1951-03-01,-0.1,-1.72,-1.02,-1.934
1951-04-01,-0.3,-1.35,-0.22,-0.776
1951-05-01,-0.7,-1.29,-0.59,-0.863
1951-06-01,0.2,-1.77,-1.64,-0.918
1951-07-01,-1.0,-0.23,1.37,0.09
1951-08-01,-0.2,-1.76,-0.22,-0.377
1951-09-01,-1.1,-0.78,-1.36,-0.818
1951-10-01,-1.0,-0.09,1.87,-0.213
1951-11-01,-0.8,-0.31,-0.39,-0.069
1951-12-01,-0.7,-1.45,1.32,1.987
1952-01-01,-0.9,-2.19,0.93,0.368
1952-02-01,-0.6,-1.35,-0.83,-1.747
1952-03-01,0.5,-1.67,-1.49,-1.859
1952-04-01,-0.2,-1.92,1.01,0.539
1952-05-01,0.8,-2.07,-1.12,-0.774
1952-06-01,0.7,-2.13,-0.4,-0.441
1952-07-01,0.5,-2.05,-0.09,0.383
1952-08-01,0.1,-1.58,-0.28,-0.03
1952-09-01,-0.2,-1.36,-0.54,-0.383
1952-10-01,0.4,-0.91,-0.73,-0.437
1952-11-01,0.0,-0.53,-1.13,-1.891
1952-12-01,-1.2,-0.83,-0.43,-1.827
1953-01-01,0.3,-0.16,0.33,-1.036
1953-02-01,-0.5,-0.46,-0.49,-0.249
1953-03-01,-0.2,-1.27,-0.04,1.068
1953-04-01,0.2,-0.9,-1.67,-1.256
1953-05-01,-1.7,-0.55,-0.66,-0.562
1953-06-01,0.1,-0.2,1.09,0.023
1953-07-01,-0.0,0.06,0.4,0.333
1953-08-01,-1.2,-0.92,-0.71,0.085
1953-09-01,-1.2,-1.11,-0.35,0.662
1953-10-01,0.1,-1.48,1.32,-0.194
1953-11-01,-0.3,-0.51,1.04,0.354
1953-12-01,-0.5,-0.18,-0.47,0.575
1954-01-01,0.7,-1.13,0.37,-0.148
1954-02-01,-0.3,-0.95,0.74,-0.181
1954-03-01,0.3,-1.15,-0.83,0.476
1954-04-01,0.6,-1.25,1.34,0.512
1954-05-01,0.5,-0.76,-0.09,-1.656
1954-06-01,0.1,0.49,-0.25,-0.268
1954-07-01,0.4,-0.08,-0.6,0.341
1954-08-01,1.1,-0.32,-1.9,-0.122
1954-09-01,0.2,-1.05,-0.44,0.301
1954-10-01,0.3,0.02,0.6,0.513
1954-11-01,0.1,0.85,0.4,-0.328
1954-12-01,1.4,0.49,0.69,0.553
1955-01-01,-0.5,-0.23,-1.84,-1.163
1955-02-01,1.9,-1.01,-1.12,-1.542
1955-03-01,0.6,-1.24,-0.53,-1.568
1955-04-01,-0.1,-2.21,-0.42,0.194
1955-05-01,1.0,-1.89,-0.34,0.242
1955-06-01,1.3,-2.18,-1.1,-0.266
1955-07-01,1.6,-2.75,1.76,0.332
1955-08-01,1.5,-2.66,1.07,0.76
1955-09-01,1.3,-2.48,0.32,0.357
1955-10-01,1.5,-3.35,-1.47,0.099
1955-11-01,1.2,-2.63,-1.29,-1.342
1955-12-01,1.0,-2.2,0.17,-0.444
1956-01-01,1.3,-2.26,-0.22,-1.204
1956-02-01,1.6,-2.28,-1.12,-2.029
1956-03-01,1.3,-2.93,-0.05,0.47
1956-04-01,0.9,-2.55,-1.06,-0.868
1956-05-01,1.4,-1.62,2.21,1.391
1956-06-01,1.1,-1.98,0.1,0.28
1956-07-01,1.1,-1.48,-0.75,-0.215
1956-08-01,1.2,-1.0,-1.37,-0.652
